
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                       |  Mean duration (s)      |  Num calls            |  Total time (s)       |  Percentage %         |
|  [LightningModule]GPTLanguageModel.on_save_checkpoint                                                                                                                         |  0.00040309             |  2                    |  0.00080618           |  0.00089925           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_epoch_end                 |  0.00078471             |  1                    |  0.00078471           |  0.0008753            |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_epoch_end            |  0.0006981              |  1                    |  0.0006981            |  0.0007787            |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.setup                                  |  0.00040915             |  1                    |  0.00040915           |  0.00045639           |
|  [Callback]TQDMProgressBar.on_train_end                                                                                                                                       |  0.00039542             |  1                    |  0.00039542           |  0.00044107           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end                     |  7.7003e-06             |  50                   |  0.00038501           |  0.00042946           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_batch_end                 |  7.2956e-06             |  50                   |  0.00036478           |  0.00040689           |
|  [Callback]TQDMProgressBar.on_train_epoch_start                                                                                                                               |  0.00036469             |  1                    |  0.00036469           |  0.00040679           |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_batch_end                |  6.9521e-06             |  50                   |  0.00034761           |  0.00038774           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.setup                              |  0.00033023             |  1                    |  0.00033023           |  0.00036836           |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.setup                             |  0.00031694             |  1                    |  0.00031694           |  0.00035353           |
|  [Callback]TQDMProgressBar.on_train_epoch_end                                                                                                                                 |  0.00024514             |  1                    |  0.00024514           |  0.00027344           |
|  [Callback]ModelSummary.on_train_batch_end                                                                                                                                    |  3.2909e-06             |  50                   |  0.00016455           |  0.00018354           |
|  [Callback]TQDMProgressBar.on_before_optimizer_step                                                                                                                           |  2.7862e-06             |  50                   |  0.00013931           |  0.0001554            |
|  [Callback]TQDMProgressBar.on_before_zero_grad                                                                                                                                |  2.6386e-06             |  50                   |  0.00013193           |  0.00014716           |
|  [Callback]TQDMProgressBar.on_after_backward                                                                                                                                  |  2.1944e-06             |  50                   |  0.00010972           |  0.00012239           |
|  [Callback]TQDMProgressBar.on_before_backward                                                                                                                                 |  2.061e-06              |  50                   |  0.00010305           |  0.00011494           |
|  [Callback]TQDMProgressBar.on_train_batch_start                                                                                                                               |  2.0486e-06             |  50                   |  0.00010243           |  0.00011426           |
|  [LightningModule]GPTLanguageModel.on_before_batch_transfer                                                                                                                   |  1.6952e-06             |  50                   |  8.4759e-05           |  9.4544e-05           |
|  [Callback]ModelSummary.on_before_zero_grad                                                                                                                                   |  1.5026e-06             |  50                   |  7.5128e-05           |  8.3801e-05           |
|  [Callback]ModelSummary.on_after_backward                                                                                                                                     |  1.3595e-06             |  50                   |  6.7974e-05           |  7.5821e-05           |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_before_backward            |  1.327e-06              |  50                   |  6.635e-05            |  7.401e-05            |
|  [Callback]ModelSummary.on_before_optimizer_step                                                                                                                              |  1.3147e-06             |  50                   |  6.5736e-05           |  7.3326e-05           |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_before_optimizer_step      |  1.3092e-06             |  50                   |  6.5462e-05           |  7.3019e-05           |
|  [LightningModule]GPTLanguageModel.on_train_batch_end                                                                                                                         |  1.2756e-06             |  50                   |  6.3782e-05           |  7.1145e-05           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_start                   |  1.271e-06              |  50                   |  6.3552e-05           |  7.0889e-05           |
|  [LightningModule]GPTLanguageModel.on_after_batch_transfer                                                                                                                    |  1.2638e-06             |  50                   |  6.319e-05            |  7.0486e-05           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.on_before_backward                 |  1.2614e-06             |  50                   |  6.3069e-05           |  7.0351e-05           |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_before_zero_grad           |  1.2557e-06             |  50                   |  6.2786e-05           |  7.0035e-05           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.on_before_zero_grad                |  1.2424e-06             |  50                   |  6.2122e-05           |  6.9294e-05           |
|  [Callback]ModelSummary.on_train_batch_start                                                                                                                                  |  1.2126e-06             |  50                   |  6.0631e-05           |  6.7631e-05           |
|  [LightningModule]GPTLanguageModel.on_before_zero_grad                                                                                                                        |  1.2125e-06             |  50                   |  6.0626e-05           |  6.7626e-05           |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_before_zero_grad               |  1.2086e-06             |  50                   |  6.043e-05            |  6.7406e-05           |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_batch_start          |  1.2009e-06             |  50                   |  6.0047e-05           |  6.6979e-05           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_zero_grad                    |  1.1967e-06             |  50                   |  5.9837e-05           |  6.6745e-05           |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_before_optimizer_step          |  1.1937e-06             |  50                   |  5.9685e-05           |  6.6575e-05           |
|  [Callback]ModelSummary.on_before_backward                                                                                                                                    |  1.1889e-06             |  50                   |  5.9443e-05           |  6.6305e-05           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.on_before_optimizer_step           |  1.1866e-06             |  50                   |  5.9332e-05           |  6.6182e-05           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_optimizer_step               |  1.1675e-06             |  50                   |  5.8373e-05           |  6.5112e-05           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_after_backward                      |  1.1378e-06             |  50                   |  5.6888e-05           |  6.3456e-05           |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_after_backward                 |  1.0995e-06             |  50                   |  5.4977e-05           |  6.1324e-05           |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_after_backward             |  1.0858e-06             |  50                   |  5.4289e-05           |  6.0556e-05           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_batch_start               |  1.0834e-06             |  50                   |  5.4171e-05           |  6.0425e-05           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_before_backward                     |  1.0828e-06             |  50                   |  5.414e-05            |  6.039e-05            |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_before_backward                |  1.0668e-06             |  50                   |  5.3341e-05           |  5.9499e-05           |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_batch_start              |  1.0664e-06             |  50                   |  5.3318e-05           |  5.9474e-05           |
|  [LightningModule]GPTLanguageModel.on_before_backward                                                                                                                         |  1.0642e-06             |  50                   |  5.3209e-05           |  5.9352e-05           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.on_after_backward                  |  1.0529e-06             |  50                   |  5.2647e-05           |  5.8725e-05           |
|  [LightningModule]GPTLanguageModel.on_before_optimizer_step                                                                                                                   |  9.8428e-07             |  50                   |  4.9214e-05           |  5.4896e-05           |
|  [LightningModule]GPTLanguageModel.on_train_batch_start                                                                                                                       |  9.7936e-07             |  50                   |  4.8968e-05           |  5.4621e-05           |
|  [LightningModule]GPTLanguageModel.on_after_backward                                                                                                                          |  9.6269e-07             |  50                   |  4.8134e-05           |  5.3692e-05           |
|  [Strategy]DDPStrategy.on_train_batch_start                                                                                                                                   |  7.9436e-07             |  50                   |  3.9718e-05           |  4.4304e-05           |
|  [LightningModule]GPTLanguageModel.lr_scheduler_step                                                                                                                          |  1.4859e-05             |  1                    |  1.4859e-05           |  1.6575e-05           |
|  [Callback]ModelSummary.on_train_start                                                                                                                                        |  8.9547e-06             |  1                    |  8.9547e-06           |  9.9885e-06           |
|  [Callback]TQDMProgressBar.setup                                                                                                                                              |  8.9472e-06             |  1                    |  8.9472e-06           |  9.9802e-06           |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_start                |  8.1295e-06             |  1                    |  8.1295e-06           |  9.0681e-06           |
|  [LightningModule]GPTLanguageModel.on_train_epoch_start                                                                                                                       |  7.4618e-06             |  1                    |  7.4618e-06           |  8.3232e-06           |
|  [LightningModule]GPTLanguageModel.on_train_start                                                                                                                             |  5.4957e-06             |  1                    |  5.4957e-06           |  6.1302e-06           |
|  [LightningModule]GPTLanguageModel.prepare_data                                                                                                                               |  5.4371e-06             |  1                    |  5.4371e-06           |  6.0648e-06           |
|  [Callback]TQDMProgressBar.on_save_checkpoint                                                                                                                                 |  2.7055e-06             |  2                    |  5.411e-06            |  6.0357e-06           |
|  [LightningModule]GPTLanguageModel.on_fit_start                                                                                                                               |  5.2303e-06             |  1                    |  5.2303e-06           |  5.8341e-06           |
|  [LightningModule]GPTLanguageModel.configure_callbacks                                                                                                                        |  4.0988e-06             |  1                    |  4.0988e-06           |  4.572e-06            |
|  [Callback]TQDMProgressBar.on_fit_end                                                                                                                                         |  4.0159e-06             |  1                    |  4.0159e-06           |  4.4795e-06           |
|  [Strategy]DDPStrategy.on_train_start                                                                                                                                         |  3.5027e-06             |  1                    |  3.5027e-06           |  3.9071e-06           |
|  [Callback]TQDMProgressBar.on_fit_start                                                                                                                                       |  3.3909e-06             |  1                    |  3.3909e-06           |  3.7824e-06           |
|  [Callback]ModelSummary.on_train_end                                                                                                                                          |  3.3146e-06             |  1                    |  3.3146e-06           |  3.6972e-06           |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_fit_start                  |  3.0706e-06             |  1                    |  3.0706e-06           |  3.4251e-06           |
|  [Callback]ModelSummary.on_save_checkpoint                                                                                                                                    |  1.3886e-06             |  2                    |  2.7772e-06           |  3.0978e-06           |
|  [Callback]ModelSummary.on_train_epoch_start                                                                                                                                  |  2.4987e-06             |  1                    |  2.4987e-06           |  2.7872e-06           |
|  [Callback]ModelSummary.on_train_epoch_end                                                                                                                                    |  2.468e-06              |  1                    |  2.468e-06            |  2.7529e-06           |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_save_checkpoint            |  1.2275e-06             |  2                    |  2.455e-06            |  2.7384e-06           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.on_save_checkpoint                 |  1.2079e-06             |  2                    |  2.4159e-06           |  2.6948e-06           |
|  [Callback]TQDMProgressBar.teardown                                                                                                                                           |  2.1849e-06             |  1                    |  2.1849e-06           |  2.4371e-06           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_save_checkpoint                     |  1.0808e-06             |  2                    |  2.1616e-06           |  2.4112e-06           |
|  [Callback]ModelSummary.setup                                                                                                                                                 |  2.143e-06              |  1                    |  2.143e-06            |  2.3904e-06           |
|  [LightningModule]GPTLanguageModel.setup                                                                                                                                      |  2.0815e-06             |  1                    |  2.0815e-06           |  2.3218e-06           |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_save_checkpoint                |  9.2853e-07             |  2                    |  1.8571e-06           |  2.0715e-06           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_start                         |  1.7229e-06             |  1                    |  1.7229e-06           |  1.9219e-06           |
|  [LightningModule]GPTLanguageModel.on_train_end                                                                                                                               |  1.6624e-06             |  1                    |  1.6624e-06           |  1.8543e-06           |
|  [LightningModule]GPTLanguageModel.on_fit_end                                                                                                                                 |  1.5059e-06             |  1                    |  1.5059e-06           |  1.6798e-06           |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_end                  |  1.4231e-06             |  1                    |  1.4231e-06           |  1.5874e-06           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_fit_start                           |  1.3905e-06             |  1                    |  1.3905e-06           |  1.551e-06            |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_start                     |  1.3905e-06             |  1                    |  1.3905e-06           |  1.551e-06            |
|  [Callback]ModelSummary.on_fit_end                                                                                                                                            |  1.3793e-06             |  1                    |  1.3793e-06           |  1.5385e-06           |
|  [LightningModule]GPTLanguageModel.on_train_epoch_end                                                                                                                         |  1.3234e-06             |  1                    |  1.3234e-06           |  1.4762e-06           |
|  [Callback]ModelSummary.teardown                                                                                                                                              |  1.3178e-06             |  1                    |  1.3178e-06           |  1.47e-06             |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_fit_end                    |  1.3169e-06             |  1                    |  1.3169e-06           |  1.4689e-06           |
|  [LightningModule]GPTLanguageModel.teardown                                                                                                                                   |  1.316e-06              |  1                    |  1.316e-06            |  1.4679e-06           |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_epoch_start          |  1.315e-06              |  1                    |  1.315e-06            |  1.4668e-06           |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_start                    |  1.3104e-06             |  1                    |  1.3104e-06           |  1.4617e-06           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_fit_end                             |  1.3039e-06             |  1                    |  1.3039e-06           |  1.4544e-06           |
|  [Callback]ModelCheckpoint{'monitor': 'val/loss', 'mode': 'min', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.teardown                      |  1.3029e-06             |  1                    |  1.3029e-06           |  1.4533e-06           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.on_fit_start                       |  1.2862e-06             |  1                    |  1.2862e-06           |  1.4346e-06           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.teardown                           |  1.2359e-06             |  1                    |  1.2359e-06           |  1.3785e-06           |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_fit_start                      |  1.1967e-06             |  1                    |  1.1967e-06           |  1.3349e-06           |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.teardown                          |  1.194e-06              |  1                    |  1.194e-06            |  1.3318e-06           |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_epoch_start              |  1.1614e-06             |  1                    |  1.1614e-06           |  1.2954e-06           |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_end                      |  1.0971e-06             |  1                    |  1.0971e-06           |  1.2238e-06           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_end                           |  1.0952e-06             |  1                    |  1.0952e-06           |  1.2217e-06           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_epoch_start                   |  1.0896e-06             |  1                    |  1.0896e-06           |  1.2154e-06           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_epoch_start               |  1.0887e-06             |  1                    |  1.0887e-06           |  1.2144e-06           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.teardown                               |  1.085e-06              |  1                    |  1.085e-06            |  1.2103e-06           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.on_train_end                       |  1.0598e-06             |  1                    |  1.0598e-06           |  1.1822e-06           |
|  [Callback]ModelCheckpoint{'monitor': None, 'mode': 'min', 'every_n_train_steps': 10000, 'every_n_epochs': 0, 'train_time_interval': None}.on_fit_end                         |  1.0077e-06             |  1                    |  1.0077e-06           |  1.124e-06            |
|  [Strategy]DDPStrategy.on_train_end                                                                                                                                           |  1.003e-06              |  1                    |  1.003e-06            |  1.1188e-06           |
|  [Callback]ModelCheckpoint{'monitor': 'step', 'mode': 'max', 'every_n_train_steps': 1000, 'every_n_epochs': 0, 'train_time_interval': None}.on_fit_end                        |  9.8906e-07             |  1                    |  9.8906e-07           |  1.1033e-06           |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
